LeftHand,(-0.2, 1.2, 0.5),7.071068,759
RightHand,(0.2, 1.2, 0.5),7.071068,759
LeftHand,(-0.2, 1.2, 0.5),7.071068,439
RightHand,(0.2, 1.2, 0.5),7.071068,439
LeftHand,(-0.2, 1.2, 0.5),7.071068,536
RightHand,(0.2, 1.2, 0.5),7.071068,536
LeftHand,(-0.4, 1.2, 0.6),7.071068,640
RightHand,(0.0, 1.2, 0.7),7.071068,640
LeftHand,(-0.7, 1.2, 0.9),7.071068,741
RightHand,(-0.4, 1.2, 1.2),7.071068,741
LeftHand,(-1.1, 1.2, 1.2),7.071068,841
RightHand,(-0.8, 1.2, 1.5),7.071068,841
LeftHand,(-1.5, 1.2, 1.5),7.071068,937
RightHand,(-1.2, 1.2, 1.8),7.071068,937
LeftHand,(-1.8, 1.2, 1.9),7.071068,38
RightHand,(-1.5, 1.2, 2.2),7.071068,38
LeftHand,(-2.2, 1.2, 2.3),7.071068,143
RightHand,(-1.9, 1.2, 2.6),7.071068,143
LeftHand,(-2.5, 1.2, 2.6),7.071068,237
RightHand,(-2.3, 1.2, 2.9),7.071068,238
LeftHand,(-2.9, 1.2, 2.7),7.071068,335
RightHand,(-2.7, 1.2, 3.1),7.071068,335
LeftHand,(-2.9, 1.2, 2.6),7.071068,434
RightHand,(-2.8, 1.2, 3.0),7.071068,434
LeftHand,(-2.9, 1.2, 2.6),7.071068,534
RightHand,(-2.8, 1.2, 3.0),7.071068,534
LeftHand,(-2.9, 1.2, 2.6),7.071068,640
RightHand,(-2.7, 1.2, 3.0),7.071068,640
LeftHand,(-2.8, 1.2, 2.9),7.071068,738
RightHand,(-2.5, 1.2, 3.2),7.071068,738
LeftHand,(-2.8, 1.2, 3.5),7.071068,842
RightHand,(-2.4, 1.2, 3.6),7.071068,842
LeftHand,(-2.5, 1.2, 4.1),7.071068,937
RightHand,(-2.1, 1.2, 3.9),7.071068,937
LeftHand,(-2.0, 1.2, 4.4),7.071068,39
RightHand,(-1.7, 1.2, 4.1),7.071068,39
LeftHand,(-1.3, 1.2, 4.5),7.071068,138
RightHand,(-1.2, 1.2, 4.1),7.071068,138
LeftHand,(-0.7, 1.2, 4.3),7.071068,239
RightHand,(-0.8, 1.2, 3.9),7.071068,239
LeftHand,(-0.3, 1.2, 3.9),7.071068,336
RightHand,(-0.5, 1.2, 3.6),7.071068,336
LeftHand,(0.0, 1.2, 3.4),7.071068,434
RightHand,(-0.4, 1.2, 3.2),7.071068,434
LeftHand,(0.1, 1.2, 2.8),7.071068,540
RightHand,(-0.3, 1.2, 2.7),7.071068,540
LeftHand,(0.1, 1.2, 2.3),7.071068,640
RightHand,(-0.2, 1.2, 2.2),7.071068,640
LeftHand,(0.2, 1.2, 1.8),7.071068,740
RightHand,(-0.1, 1.2, 1.7),7.071068,740
LeftHand,(0.4, 1.2, 1.3),7.071068,834
RightHand,(0.0, 1.2, 1.2),7.071068,834
LeftHand,(0.6, 1.2, 0.8),7.071068,942
